Epoch, Loss, Policy Loss, Value Loss, Policy Accuracy, Value MSE
10,4.753622055053711,4.051222324371338,0.693210244178772,0.14890000224113464,0.1190900132060051
20,4.390803337097168,3.690523862838745,0.6911092400550842,0.20900000631809235,0.11959366500377655
30,4.1564717292785645,3.4559195041656494,0.6913876533508301,0.2401999980211258,0.11882160604000092
40,4.093571662902832,3.393357753753662,0.6910544633865356,0.24799999594688416,0.11613917350769043
50,3.953185558319092,3.2527925968170166,0.6912392973899841,0.267300009727478,0.1196579858660698
60,3.914200782775879,3.214738607406616,0.690314531326294,0.2727999985218048,0.11840611696243286
70,3.861177682876587,3.1614301204681396,0.6906057596206665,0.2874000072479248,0.1186080053448677
80,3.818885564804077,3.1201694011688232,0.6895799040794373,0.28949999809265137,0.11822523176670074
90,3.756162166595459,3.0571415424346924,0.6898893117904663,0.296099990606308,0.11962666362524033
100,3.771419048309326,3.072132110595703,0.6901639699935913,0.29409998655319214,0.11838100850582123
110,3.708341121673584,3.00939679145813,0.6898273229598999,0.30550000071525574,0.11782855540513992
120,3.673804998397827,2.974987030029297,0.6897072196006775,0.30309998989105225,0.11703421920537949
130,3.662123918533325,2.964430809020996,0.6885871887207031,0.31119999289512634,0.11859416216611862
140,3.629941701889038,2.931535243988037,0.6893066167831421,0.30970001220703125,0.1186162605881691
150,3.6835808753967285,2.9856793880462646,0.688807487487793,0.3084000051021576,0.11769974231719971
160,3.601814031600952,2.9035208225250244,0.6892034411430359,0.31859999895095825,0.1166255846619606
170,3.6241836547851562,2.92486572265625,0.6902363896369934,0.3093999922275543,0.11600739508867264
180,3.5767340660095215,2.8783211708068848,0.6893376708030701,0.32519999146461487,0.11886207014322281
190,3.546027660369873,2.8480935096740723,0.688865065574646,0.3255000114440918,0.11937518417835236
200,3.591775894165039,2.893315315246582,0.689398467540741,0.3160000145435333,0.11614365130662918
210,3.5529680252075195,2.855419635772705,0.688492476940155,0.3215999901294708,0.11798679083585739
220,3.539499282836914,2.842362403869629,0.6880859136581421,0.32359999418258667,0.11804650723934174
230,3.524946928024292,2.8280773162841797,0.6878248453140259,0.3255999982357025,0.115931436419487
240,3.5215377807617188,2.824263572692871,0.6882362365722656,0.32170000672340393,0.1174764558672905
250,3.483614921569824,2.787287950515747,0.68729567527771,0.32249999046325684,0.11764835566282272
260,3.5277347564697266,2.8304362297058105,0.6882712244987488,0.32249999046325684,0.11782471835613251
270,3.5037715435028076,2.8056085109710693,0.6891416311264038,0.3379000127315521,0.11569875478744507
280,3.449190616607666,2.7518413066864014,0.6883342266082764,0.34049999713897705,0.11743415892124176
290,3.484999179840088,2.787964344024658,0.6880267858505249,0.3330000042915344,0.1175372451543808
300,3.4875128269195557,2.791851282119751,0.6866595149040222,0.33219999074935913,0.11668434739112854
310,3.447057008743286,2.7497622966766357,0.6883008480072021,0.33959999680519104,0.11625325679779053
320,3.4324843883514404,2.735356092453003,0.6881404519081116,0.3449000120162964,0.11609722673892975
330,3.4851176738739014,2.7875826358795166,0.6885527968406677,0.3345000147819519,0.11498981714248657
340,3.4687461853027344,2.772387981414795,0.6873829364776611,0.335999995470047,0.11564037203788757
350,3.4507620334625244,2.7539429664611816,0.6878501176834106,0.33889999985694885,0.11703860759735107
360,3.423612117767334,2.727277994155884,0.6873716115951538,0.34380000829696655,0.11689389497041702
370,3.434293746948242,2.7376739978790283,0.6876627802848816,0.3434000015258789,0.11890646815299988
380,3.3901519775390625,2.693169355392456,0.6880329847335815,0.35010001063346863,0.11777259409427643
390,3.4265613555908203,2.729384660720825,0.6882336139678955,0.33889999985694885,0.11484779417514801
400,3.407266855239868,2.710214138031006,0.6881150603294373,0.3456000089645386,0.11665453761816025
410,3.40087890625,2.7050511837005615,0.6868972182273865,0.3425999879837036,0.11654877662658691
420,3.44026255607605,2.7436635494232178,0.6876761317253113,0.3334999978542328,0.11666476726531982
430,3.3850955963134766,2.687323570251465,0.6888551712036133,0.3443000018596649,0.11826611310243607
440,3.4128780364990234,2.7171616554260254,0.686805784702301,0.3440999984741211,0.11614078283309937
450,3.409923791885376,2.713824987411499,0.6871950030326843,0.3441999852657318,0.11608988046646118
460,3.365791082382202,2.6696293354034424,0.687262773513794,0.35580000281333923,0.11519614607095718
470,3.4112191200256348,2.7155063152313232,0.6868208050727844,0.3456000089645386,0.11638566851615906
480,3.3621926307678223,2.665914535522461,0.6873926520347595,0.3499000072479248,0.11577644944190979
490,3.331326961517334,2.6354012489318848,0.6870470643043518,0.3628000020980835,0.11528836935758591
500,3.35382080078125,2.6582465171813965,0.6867023706436157,0.350600004196167,0.11651424318552017
